commonName,lat,lon
"Saunders Ness Road, Cubitt Town",51.487129,-0.009001
"Exhibition Road Museums 2, South Kensington",51.495947,-0.17368899999999998
"Albert Gardens, Stepney",51.51328,-0.047784
"Bromley High Street, Bow",51.528828,-0.013257999999999999
"Old Ford Road, Bethnal Green",51.531127,-0.048017
"Granby Street, Shoreditch",51.525645,-0.069543
"Canton Street, Poplar",51.511811,-0.025626
"Reardon Street, Wapping",51.506946,-0.058681
"Pennington Street, Wapping",51.508622,-0.065006
"Queen Mary's, Mile End",51.522507,-0.041378
"Maplin Street, Mile End",51.525501,-0.032267
"South Quay East, Canary Wharf",51.50196,-0.016250999999999998
"Bow Church Station, Bow",51.528169,-0.018703
"Devons Road, Bow",51.52512,-0.015578
"Merchant Street, Bow",51.526578,-0.027580999999999998
"Bow Road Station, Bow",51.527058,-0.025296
"Furze Green, Bow",51.519265,-0.021345
"Ansell House, Stepney",51.520019,-0.054380000000000005
"Cephas Street, Bethnal Green",51.522561,-0.054882999999999994
"Bonner Gate, Victoria Park",51.53341,-0.049590999999999996
"Cleveland Way, Stepney",51.520893,-0.051393999999999995
"St. John's Park, Cubitt Town",51.496454,-0.009505999999999999
"Ackroyd Drive, Bow",51.520398,-0.026768
"Bell Lane, Liverpool Street",51.517475,-0.07585499999999999
"Clarkson Street, Bethnal Green",51.528692,-0.059091
"Fournier Street, Whitechapel",51.519362,-0.074431
"Fore Street, Guildhall",51.517842,-0.090075
"Westferry DLR, Limehouse",51.509303,-0.025996
"Sutton Street, Shadwell",51.511066,-0.053557999999999995
"Pritchard's Road, Bethnal Green",51.532091,-0.06142
"Watney Market, Stepney",51.514222,-0.055656
"Portman Square, Marylebone",51.516204,-0.155525
"Russell Gardens, Olympia",51.500088,-0.211316
"Chrisp Street Market, Poplar",51.5112,-0.014438
"Ford Road, Old Ford",51.532513,-0.033084999999999996
"Antill Road, Mile End",51.528224,-0.037471
"Teviot Street, Poplar",51.518811,-0.011661999999999999
